Postcode,predicted_clv_3y,allocated_marketing_budget,municipality,id,postal_code,total_population,male,female,age_0_15,age_15_25,age_25_45,age_45_65,age_65_plus,dutch_background,western_migration_background,non_western_migration_background,total_households,single_person_households,multi_person_no_children,single_parent_households,two_parent_households,household_size,total_housing_stock,built_before_1945,built_1945_1965,built_1965_1975,built_1975_1985,built_1985_1995,built_1995_2005,built_2005_2015,built_2015_later,multi_family_dwelling,owner_occupied,rental,housing_corporation_rental,not_occupied,woz_property_value,benefits_under_retirement_age,extra_metric_1,extra_metric_2,ppi_level,cbs_new_ppi
3044,792600.0,40321.0,Rotterdam,863.0,3044.0,125.0,0.52,0.48,0.16,0.04,0.32,0.24,0.2,0.84,0.08,0.08,0.52,0.46153846153846156,0.3076923076923077,0.0,0.23076923076923078,2.0,40.0,0.375,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.5,60.0,40.0,0.0,0.375,357.0,0.04,11.816,0.024,3.0,1.5745478158445037
3059,669864.0,34077.0,Rotterdam,873.0,3059.0,12785.0,0.4974579585451701,0.5021509581540868,0.26007039499413376,0.11106765741102854,0.2624168947985921,0.26359014470082126,0.10246382479468126,0.9976535001955417,0.0007821666014861165,0.001564333202972233,0.35549472037543994,0.2079207920792079,0.22552255225522552,0.0847084708470847,0.47854785478547857,2.8,4510.0,0.004434589800443459,0.005543237250554324,0.0033259423503325942,0.0033259423503325942,0.0011086474501108647,0.26496674057649666,0.6762749445676275,0.038802660753880266,0.3026607538802661,80.0,20.0,0.19290465631929046,0.026607538802660754,406.0,0.044583496284708646,0.09026202581149785,0.00023464998044583498,4.0,1.706281324098632
3055,479675.0,24402.0,Rotterdam,871.0,3055.0,8250.0,0.47878787878787876,0.5218181818181818,0.23030303030303031,0.08666666666666667,0.18787878787878787,0.2678787878787879,0.22666666666666666,0.9975757575757576,0.0012121212121212121,0.0012121212121212121,0.40484848484848485,0.3413173652694611,0.24251497005988024,0.059880239520958084,0.3562874251497006,2.4,3465.0,0.30735930735930733,0.4660894660894661,0.07503607503607504,0.07647907647907648,0.031746031746031744,0.024531024531024532,0.008658008658008658,0.010101010101010102,0.3088023088023088,70.0,30.0,0.10678210678210678,0.050505050505050504,522.0,0.02909090909090909,0.20642424242424243,0.00024242424242424242,4.0,1.7820291503213355
2994,411971.0,20958.0,Barendrecht,834.0,2994.0,6775.0,0.5084870848708487,0.4915129151291513,0.24575645756457565,0.12546125461254612,0.27527675276752767,0.26346863468634685,0.09003690036900369,0.9940959409594096,0.0014760147601476014,0.004428044280442804,0.35129151291512917,0.19957983193277312,0.22899159663865545,0.0861344537815126,0.4810924369747899,2.8,2365.0,0.0,0.0,0.0,0.0,0.0,0.0613107822410148,0.9260042283298098,0.014799154334038054,0.266384778012685,70.0,30.0,0.18604651162790697,0.023255813953488372,335.0,0.04797047970479705,0.22273062730627305,0.0002952029520295203,4.0,1.5405197736684162
3062,313013.0,15923.0,Rotterdam,875.0,3062.0,8315.0,0.4792543595911004,0.5207456404088996,0.13830426939266385,0.27300060132291043,0.23692122669873722,0.20444978953698137,0.14792543595911004,0.995189416716777,0.0024052916416115455,0.0024052916416115455,0.5688514732411305,0.6088794926004228,0.19133192389006343,0.0306553911205074,0.16173361522198731,1.7,3835.0,0.5423728813559322,0.13428943937418514,0.007822685788787484,0.08083441981747067,0.10691003911342895,0.009126466753585397,0.04432855280312908,0.07431551499348109,0.6831812255541069,50.0,50.0,0.1395045632333768,0.08344198174706649,552.0,0.02826217678893566,0.37751052315093203,0.00012026458208057727,3.0,1.6318964305818755
3207,305032.0,15517.0,Nissewaard,954.0,3207.0,15500.0,0.4964516129032258,0.5038709677419355,0.13451612903225807,0.12483870967741935,0.20419354838709677,0.3506451612903226,0.18548387096774194,0.9987096774193548,0.0006451612903225806,0.0006451612903225806,0.4229032258064516,0.2479023646071701,0.34706331045003813,0.07017543859649122,0.3340961098398169,2.4,6535.0,0.001530221882172915,0.0007651109410864575,0.001530221882172915,0.0,0.6013771996939556,0.3932670237184392,0.0,0.0,0.11323641928079571,70.0,30.0,0.2501912777352716,0.014537107880642693,250.0,0.05451612903225807,0.10748387096774194,0.00012903225806451613,1.0,1.1247655399231322
3011,288594.0,14681.0,Rotterdam,836.0,3011.0,16980.0,0.5220848056537103,0.47762073027090696,0.07773851590106007,0.16755005889281507,0.4458186101295642,0.19699646643109542,0.11189634864546526,0.997055359246172,0.001177856301531213,0.0017667844522968198,0.6071849234393404,0.6139670223084384,0.2550921435499515,0.042192046556741025,0.07322987390882638,1.5,9480.0,0.006329113924050633,0.23523206751054854,0.00949367088607595,0.26582278481012656,0.14873417721518986,0.1529535864978903,0.14187763713080168,0.03955696202531646,0.9963080168776371,30.0,70.0,0.19831223628691982,0.09124472573839662,317.0,0.07685512367491167,0.3789163722025913,5.889281507656066e-05,3.0,0.8395054007202692
2992,244050.0,12415.0,Barendrecht,832.0,2992.0,14690.0,0.48842750170183796,0.511572498298162,0.16916269571136827,0.13546630360789652,0.20694349897889722,0.31756296800544587,0.1708645336963921,0.998638529611981,0.0006807351940095302,0.0006807351940095302,0.39925119128658954,0.2549019607843137,0.29923273657289,0.0741687979539642,0.3691389599317988,2.5,5915.0,0.05156382079459002,0.028740490278951817,0.1242603550295858,0.0253592561284869,0.3474218089602705,0.294167371090448,0.07861369399830938,0.04902789518174133,0.21386306001690616,70.0,30.0,0.2231614539306847,0.01944209636517329,303.0,0.050714771953710006,0.12300884955752213,0.00013614703880190606,4.0,1.1636616402949982
2993,230505.0,11726.0,Barendrecht,833.0,2993.0,14295.0,0.49492829660720533,0.5047219307450157,0.16928996152500875,0.13396292409933544,0.18992654774396642,0.3273871983210913,0.17908359566281917,0.9979013641133263,0.0006995452955578874,0.0013990905911157748,0.39419377404686956,0.2360248447204969,0.3114463176574978,0.0878438331854481,0.36202307009760426,2.5,5635.0,0.01685891748003549,0.005323868677905945,0.037267080745341616,0.0026619343389529724,0.005323868677905945,0.8482697426796806,0.07630878438331855,0.007985803016858917,0.32298136645962733,70.0,30.0,0.15971606033717836,0.02040816326530612,333.0,0.049667715984610006,0.11976215459951031,0.00013990905911157747,4.0,1.208180200902894
3271,215532.0,10964.0,Hoeksche Waard,995.0,3271.0,4680.0,0.4946581196581197,0.5053418803418803,0.17414529914529914,0.10256410256410256,0.19337606837606838,0.29273504273504275,0.23824786324786323,0.9978632478632479,0.002136752136752137,0.0,0.4166666666666667,0.24358974358974358,0.37948717948717947,0.05384615384615385,0.32051282051282054,2.4,1960.0,0.10714285714285714,0.10459183673469388,0.25,0.2193877551020408,0.09183673469387756,0.11479591836734694,0.03316326530612245,0.07653061224489796,0.06377551020408163,80.0,20.0,0.14285714285714285,0.02806122448979592,346.0,0.030982905982905984,0.09017094017094017,0.0010683760683760685,4.0,1.7208574560484793
